Częstotliwość (Hz)	Poziom (dB)
777.886963	-58.203838
780.578613	-57.231445
783.270264	-49.530331
785.961914	-30.876287
788.653564	-27.053192
791.345215	-34.473347
794.036865	-50.134411
796.728516	-56.443447
799.420166	-65.656631
802.111816	-62.847507
804.803467	-61.050003
807.495117	-58.957150
810.186768	-60.590076
812.878418	-62.946724
815.570068	-62.953289
818.261719	-63.279938
820.953369	-62.764462
823.645020	-57.795856
826.336670	-41.828060
829.028320	-34.575802
831.719971	-38.188316
834.411621	-51.682541
837.103271	-54.994736
839.794922	-59.778358
842.486572	-67.610489
845.178223	-63.749470
847.869873	-64.085503
850.561523	-63.599552
853.253174	-62.529282
855.944824	-66.116104
858.636475	-68.357262
861.328125	-67.324509
864.019775	-70.489075
866.711426	-70.736946
869.403076	-68.999283
872.094727	-69.596970
874.786377	-70.271141
877.478027	-74.447708
880.169678	-69.208504
882.861328	-66.656555
885.552979	-66.804375
888.244629	-66.845406
890.936279	-64.116638
893.627930	-66.012383
896.319580	-68.663437
899.011230	-67.801247
901.702881	-66.450302
904.394531	-65.492142
907.086182	-62.081844
909.777832	-45.226837
912.469482	-38.527702
915.161133	-43.952404
917.852783	-60.555244
920.544434	-64.643730
923.236084	-65.032211
925.927734	-67.059921
928.619385	-66.797348
931.311035	-70.522743
934.002686	-72.095932
936.694336	-76.594513
939.385986	-73.426453
942.077637	-69.512039
944.769287	-69.005219
947.460938	-69.370987
950.152588	-69.346802
952.844238	-73.394142
955.535889	-65.323715
958.227539	-63.297165
960.919189	-70.656357
963.610840	-69.725975
966.302490	-63.837288
968.994141	-63.658031
971.685791	-66.840584
974.377441	-67.579086
977.069092	-62.646645
979.760742	-58.434853
982.452393	-56.448532
985.144043	-60.468075
987.835693	-58.642612
990.527344	-53.563717
993.218994	-36.816460
995.910645	-31.075518
998.602295	-34.407345
1001.293945	-48.770184
1003.985596	-53.394604
1006.677246	-58.084469
1009.368896	-60.125687
1012.060547	-59.166515
1014.752197	-61.999401
1017.443848	-62.799831
1020.135498	-63.923634
1022.827148	-63.384102
1025.518799	-68.569496
1028.210449	-67.926689
1030.902100	-66.068176
1033.593750	-69.414490
1036.285400	-73.260201
1038.977051	-72.096016
1041.668701	-72.058746
1044.360352	-67.298759
1047.052002	-66.653854
1049.743652	-62.132790
1052.435303	-63.650475
1055.126953	-66.204689
1057.818604	-69.940407
1060.510254	-75.137154
1063.201904	-66.135765
1065.893555	-69.103760
1068.585205	-71.094299
1071.276855	-72.023460
1073.968506	-60.511139
1076.660156	-56.633781
1079.351807	-63.335377
1082.043457	-66.279640
1084.735107	-69.058411
1087.426758	-66.800636
1090.118408	-70.176735
1092.810059	-71.833839
1095.501709	-69.848198
1098.193359	-68.382935
1100.885010	-65.804596
1103.576660	-67.909019
1106.268311	-73.406868
1108.959961	-72.674255
1111.651611	-73.140167
1114.343262	-73.934067
1117.034912	-71.924553
1119.726563	-65.470940
1122.418213	-66.597061
1125.109863	-66.448212
1127.801514	-68.975792
1130.493164	-67.891937
1133.184814	-66.267303
1135.876465	-70.424004
1138.568115	-64.901382
1141.259766	-66.398033
1143.951416	-64.475891
1146.643066	-74.093872
1149.334717	-67.849762
1152.026367	-65.437263
1154.718018	-64.002327
1157.409668	-59.172058
1160.101318	-41.588943
1162.792969	-32.789246
1165.484619	-35.517483
1168.176270	-53.833050
1170.867920	-56.415817
1173.559570	-57.286118
1176.251221	-64.480545
1178.942871	-56.224243
1181.634521	-39.697311
1184.326172	-36.166397
1187.017822	-43.588863
1189.709473	-55.534180
1192.401123	-66.210732
1195.092773	-63.690590
1197.784424	-63.523373
1200.476074	-64.000221
1203.167725	-66.163887
1205.859375	-67.595688
1208.551025	-67.841278
1211.242676	-68.406082
1213.934326	-70.822929
1216.625977	-69.563469
1219.317627	-70.516045
1222.009277	-65.841293
1224.700928	-65.676018
1227.392578	-76.458488
1230.084229	-70.167877
1232.775879	-72.776001
1235.467529	-77.010666
1238.159180	-65.802017
1240.850830	-58.552246
1243.542480	-59.303902
1246.234131	-52.533318
1248.925781	-49.394951
1251.617432	-56.599632
1254.309082	-66.236412
1257.000732	-67.935272
1259.692383	-69.173126
1262.384033	-67.266525
1265.075684	-66.276672
1267.767334	-65.883339
1270.458984	-66.684593
1273.150635	-71.668846
1275.842285	-70.510872
1278.533936	-74.705360
1281.225586	-73.520226
1283.917236	-69.948883
1286.608887	-71.969719
1289.300537	-73.992767
1291.992188	-70.357727
1294.683838	-66.166069
1297.375488	-68.383400
1300.067139	-76.551674
1302.758789	-69.925163
1305.450439	-68.234451
1308.142090	-69.669434
1310.833740	-65.239914
1313.525391	-65.954926
1316.217041	-67.284149
1318.908691	-67.126297
1321.600342	-67.001152
1324.291992	-57.446175
1326.983643	-46.594006
1329.675293	-33.654346
1332.366943	-32.371105
1335.058594	-42.577255
1337.750244	-54.163685
1340.441895	-61.343182
1343.133545	-62.998425
1345.825195	-63.874111
1348.516846	-62.525276
1351.208496	-61.441559
1353.900146	-62.589241
1356.591797	-65.340767
1359.283447	-69.978928
1361.975098	-71.168419
1364.666748	-69.150795
1367.358398	-71.456543
1370.050049	-77.296989
1372.741699	-74.277794
1375.433350	-74.382133
1378.125000	-75.051697
1380.816650	-74.154938
1383.508301	-69.284470
1386.199951	-65.806732
1388.891602	-67.453529
1391.583252	-75.725250
1394.274902	-81.067574
1396.966553	-73.247467
1399.658203	-71.162186
1402.349854	-72.031509
1405.041504	-74.512672
1407.733154	-69.699593
1410.424805	-64.345909
1413.116455	-65.460793
1415.808105	-64.411087
1418.499756	-63.854103
1421.191406	-69.970451
1423.883057	-77.245041
1426.574707	-73.391945
1429.266357	-75.226463
1431.958008	-74.251465
1434.649658	-73.049942
1437.341309	-76.598724
1440.032959	-74.077240
1442.724609	-75.801765
1445.416260	-69.484032
1448.107910	-68.075134
1450.799561	-68.300041
1453.491211	-72.124466
1456.182861	-76.213074
1458.874512	-73.929131
1461.566162	-71.465210
1464.257813	-68.391640
1466.949463	-70.992805
1469.641113	-69.362167
1472.332764	-73.113129
1475.024414	-75.095718
1477.716064	-72.519234
1480.407715	-66.146622
1483.099365	-63.905312
1485.791016	-63.013557
1488.482666	-61.257774
1491.174316	-50.753689
1493.865967	-43.848045
1496.557617	-42.122784
1499.249268	-42.252377
1501.940918	-46.115746
1504.632568	-52.610771
1507.324219	-65.214737
1510.015869	-58.693371
1512.707520	-63.338097
1515.399170	-71.472816
1518.090820	-71.370819
1520.782471	-67.701950
1523.474121	-67.555710
1526.165771	-67.405006
1528.857422	-69.534882
1531.549072	-73.754486
1534.240723	-70.189583
1536.932373	-67.930984
1539.624023	-67.196159
1542.315674	-68.963112
1545.007324	-72.252853
1547.698975	-77.852844
1550.390625	-73.632927
1553.082275	-70.766991
1555.773926	-69.894325
1558.465576	-68.608269
1561.157227	-67.446190
1563.848877	-69.785034
1566.540527	-66.514061
1569.232178	-63.435188
1571.923828	-68.989388
1574.615479	-63.893223
1577.307129	-60.099247
1579.998779	-48.031113
1582.690430	-43.636696
1585.382080	-48.785576
1588.073730	-48.675381
1590.765381	-53.028099
1593.457031	-67.528214
1596.148682	-67.327705
1598.840332	-68.493301
1601.531982	-71.463326
1604.223633	-70.364479
1606.915283	-68.310478
1609.606934	-68.940346
1612.298584	-70.484230
1614.990234	-70.450417
1617.681885	-77.241692
1620.373535	-72.424500
1623.065186	-70.703545
1625.756836	-74.467957
1628.448486	-69.742592
1631.140137	-66.823280
1633.831787	-69.235909
1636.523438	-71.122101
1639.215088	-70.924759
1641.906738	-73.411667
1644.598389	-68.447807
1647.290039	-69.832809
1649.981689	-70.822762
1652.673340	-65.350479
1655.364990	-61.163349
1658.056641	-61.332924
1660.748291	-56.079117
1663.439941	-42.986103
1666.131592	-40.488804
1668.823242	-38.489193
1671.514893	-44.094604
1674.206543	-56.890339
1676.898193	-58.706249
1679.589844	-65.585426
1682.281494	-66.256310
1684.973145	-70.381920
1687.664795	-73.048294
1690.356445	-68.914078
1693.048096	-69.952072
1695.739746	-73.164856
1698.431396	-74.508583
1701.123047	-73.122246
1703.814697	-76.168663
1706.506348	-77.370438
1709.197998	-76.109505
1711.889648	-73.778458
1714.581299	-69.339622
1717.272949	-72.478416
1719.964600	-76.602440
1722.656250	-74.675835
1725.347900	-71.425186
1728.039551	-74.191193
1730.731201	-74.711578
1733.422852	-78.305885
1736.114502	-75.396774
1738.806152	-71.045898
1741.497803	-65.034851
1744.189453	-64.473717
1746.881104	-71.225090
1749.572754	-75.087021
1752.264404	-77.361320
1754.956055	-75.388649
1757.647705	-64.879417
1760.339355	-62.635384
1763.031006	-69.356216
1765.722656	-73.245186
1768.414307	-73.981194
1771.105957	-73.623749
1773.797607	-75.349213
1776.489258	-75.500908
1779.180908	-73.038101
1781.872559	-69.922546
1784.564209	-70.915604
1787.255859	-71.572945
1789.947510	-74.362549
1792.639160	-73.654793
1795.330811	-79.053802
1798.022461	-74.753296
1800.714111	-71.697090
1803.405762	-71.536934
1806.097412	-74.849686
1808.789063	-73.997505
1811.480713	-76.259857
1814.172363	-73.825661
1816.864014	-69.327072
1819.555664	-72.985771
1822.247314	-66.904778
1824.938965	-62.853062
1827.630615	-67.234695
1830.322266	-72.985008
1833.013916	-67.815842
1835.705566	-56.170898
1838.397217	-51.673485
1841.088867	-55.992237
1843.780518	-55.484558
1846.472168	-54.031391
1849.163818	-62.714417
1851.855469	-72.441620
